master_line,family,subfamily,category,product_id,description
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010910,"DESTORNILLADOR ELECTRICO ELÉCTRICO RECARGABLE DE 4 V CON 33 PUNTAS MAGNÉTICAS (2 BROCAS INCLUIDAS), LINTERNAS DUALES (SEGUN COTI) KIPRIM ES2"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010911,JGO DE TALADRO SDS PLUS 26MM C/25PZA BROCAS DEWALT DW508SK-K20 
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010912,"KIT TALADRO 1/2"" C/ATORNILLADOR IMPAC. 20V DEWALT DCK287D2-B2 (DCK287D2)"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010913,"KIT TALADRO ATORNILLADOR/PERCUTOR 20V SIN CARBONES DE 1/2"" Y ATORNILLADOR DE IMPACTO 20V SIN CARBONES DE 1/4"" DEWALT DCK223D2-B2"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010914,"KIT TALADRO INALAMBRICO PERCUTOR 20V 1/2"" DEWALT DCD7781D2-K3 + JGO DE DESTORNILLADORES DEWALT DW2174"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010915,"KIT TALADRO ATORNILLADOR/PERCUTOR INALÁMBRICO * 20V MAX* XR 1/2"" - 1/4"""
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010916,"KIT TALADRO CORDLESS DRILL/DRIVER KIT, CORDLESS, 0 IN-LB TO 275 IN-LB, 1/2 IN CHUCK SIZE MILWAUKEE 2407-22"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010917,"KIT TALADRO PACK - STRONG & VERSATILE 1/2"" INCL. 1 TOOL, 2 BATER AND 1 CHARGER , CP8548 CHICAGO PNEUMATIC PN: 8941085480 "
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010918,SET P/TALADREAR X 103 PZAS BOSCH 2608.594.070-000
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010919,TALADRO ROTOMARTILLO SDS PLUS V.V.R 0 - 10000RPM 650W 22MM DEWALT D25013K 
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010920,TALADRO ROTOMARTILLO SDS PLUS V.V.R 0 - 1150RPM 800W 26MM DEWALT D25313K 
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010921,TALADRO ATORNILLADOR P/DRYWALL C/EMBRAGUE 0 - 2500RPM 540W DEWALT DW257 
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010922,"TALADRO PERCUTOR V.V.R 0 - 2600RPM 650W 1/2"" (13MM) DEWALT DW508 "
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010923,"TALADRO PERCUTOR V.V.R 0 - 2800RPM 750W 1/2"" (13MM) BOSCH GSB 16- RE RUSO"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010924,"TALADRO PERCUTOR C/CAJA DE CARTON CC V.V.R 0 - 3000RPM 650W 1/2"" (13MM) BOSCH GSB13 RE"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010925,"TALADRO PERCUTOR C/MALETIN MP V.V.R 0 - 3000RPM 650W 1/2"" (13MM) BOSCH GSB13 RE"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010926,"TALADRO PERCUTOR V.V.R 0 - 3000RPM 750W 1/2"" (13MM) BOSCH GSB-16-RE"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010927,"TALADRO PERCUTOR C/MALETIN DE TRANSPORTE 0 - 3100RPM 550W 1/2"" (13MM) BOSCH GSB-550 RE"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010928,"TALADRO PERCUTOR 0 - 3100RPM 550W 1/2"" (13MM) BOSCH GSB 550 RE"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010929,"TALADRO D/ROTACION V.V.R 0 - 550RPM 710W 5/8"" DEWALT DW130-B2 "
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010930,TALADRO ROTOMARTILLO SDS PLUS V.V 0 - 730RPM 900W 30MM DEWALT D25405K 
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010931,TALADRO ROTOMARTILLO SDS PLUS 0-1 550 RPM 650W DEWALT DWE 5013X 
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010932,"TALADRO PERCUTOR 0-1000 / 0-2800RPM 1010W 1/2"" METABO SBEV1000-2"
Herramientas Industriales,21 HERRAMIENTAS Y EQ.  ELECTRICOS Y ACC.,"01 TALADROS, DESARMADORES ELECT. Y ACC.",TALADROS Y DESARMADORES ELECTRICOS,21010933,TALADRO PERCUTOR 720W 2 VELOC. 0-1200 / 0-2900RPM MALETIN 2.5KGR MAKITA HP2050H
